Part,Number,Name,Summary,Text
1,1,Mercury in Sagittarius,27,16025
1,2,Jupiter in Sagittarius,25,13943
1,3,Mars in Sagittarius,34,13042
1,4,Saturn in Libra,31,10895
1,5,Midnight Dawns in Scorpio,23,8414
1,6,"Moon in Taurus, Waxing",21,15840
1,7,Sun in Capricorn,27,9224
1,8,Medium Coeli / Imum Coeli,18,6512
1,9,True Node in Virgo,22,10381
1,10,Venus in Capricorn,22,6001
1,11,Conjunctions,19,13827
1,12,Mercury in Sagittarius,25,7337
2,13,Ecliptic,11,453
2,14,Aries in the Third House,16,3181
2,15,Jupiter in Sagittarius,21,4719
2,16,Mercury in Capricorn,11,3859
2,17,The Lesser Malefic,19,2623
2,18,Sun in Aquarius,20,5481
2,19,Saturn in Libra,23,4859
2,20,Mars in Capricorn,24,10487
2,21,Cardinal Earth,19,7681
2,22,A Month Without a Moon,13,7432
2,23,Venus in Aquarius,22,4717
3,24,Mercury in Aquarius,16,3300
3,25,Sun in Pisces,20,4909
3,26,Saturn in Virgo,22,2661
3,27,Venus in Pisces,13,1850
3,28,Jupiter in Capricorn,18,5780
3,29,"Moon in Aries, Crescent",9,2054
3,30,Mars in Aquarius,18,2966
3,31,Nga Potiki a Rehua / The Children in Antares,13,4185
3,32,The Greater Malefic,10,1596
3,33,Equinox,8,2532
4,34,First Point of Aries,18,1426
4,35,Mercury in Pisces; Saturn Conjunct Moon,18,9143
4,36,Venus is a Morning Star,9,1489
4,37,Exalted in Aries,24,9433
4,38,The House of Many Wishes,24,1811
4,39,Crux,15,1565
4,40,Combust,14,926
4,41,Mercury Sets,23,2991
4,42,Sun & Moon in Conjunction (New Moon),9,1095
5,43,Silver,21,2976
5,44,Gold,12,2559
5,45,Copper,23,1024
5,46,Wu Xing,14,379
5,47,Iron,9,1017
5,48,Tin,11,331
5,49,Tar,19,1204
5,50,Makeweights,19,881
6,51,Fixed Earth,26,2227
6,52,Mars in Cancer,20,1535
6,53,Te-Ra-O-Tainui,18,730
6,54,Accidental Dignity,14,820
6,55,"Aries, Ruled by Mars",26,246
6,56,Sun in Gemini,13,360
6,57,"Scorpio, Ruled by Mars",11,524
7,58,Cancer & The Moon,52,416
7,59,The Leo Sun,46,352
7,60,Aquarius & Saturn,60,276
7,61,Jupiter’s Long Reign,91,407
7,62,Inherent Dignity,52,638
7,63,The Ascendant,68,341
8,64,Saturn in Virgo,46,251
8,65,Jupiter in Sagittarius,84,200
8,66,"Moon in Leo, New",59,96
8,67,Sun in Leo,79,289
8,68,Another Kind of Dawn,74,117
9,69,"Moon in Virgo, Crescent",64,98
9,70,Sun in Virgo,79,115
9,71,A Partial Eclipse of the Sun,62,135
9,72,Papa-Tu-A-Nuku,69,107
10,73,Detriment,83,137
10,74,Fall,111,95
10,75,The Descendant,139,207
11,76,Moon in Taurus (Orion’s Reach),231,104
11,77,Sun in Scorpio,207,104
12,78,The Luminaries,236,96